inst_id,inst_name,inst_name_lang,place,start,end,alt_start,alt_end,inst_alt_name,note,source,page,created,created_by,last_modified,last_modified_by
AG0627,Association of overseas Chinese in Vietnam,en,SP0436,,,,,,,,,2017-07-09,OS,2020-04-02,DP
AG0627,越南华侨协会,zh,SP0436,,,,,,,,,2017-07-09,OS,2020-04-02,DP
AG0628,Beatles,en,SP0134,1960,1970,,,,,,,2017-07-09,OS,2020-04-02,DP
AG0629,English Language Services,en,SP0436,,,,,,,,,2017-07-12,OS,2020-04-02,DP
AG0630,Central Committee of the Communist Party in China,en,SP0005,1921,,,,,,,,2017-12-23,OS,2020-04-02,DP
AG0630,中国共产党中央委员会,zh,SP0005,1921,,1921,1922,中国共产党中央局,,,,2018-02-05,MG,2020-04-02,DP
AG0630,中国共产党中央执行委员会,zh,SP0005,1922,1927,1921,,中国共产党中央委员会,,,,2018-02-05,MG,2020-04-02,DP
AG0631,Baiyangdian literary society,en,SP0025,1968,1976,,,,,,,2018-01-30,OS,2020-04-02,DP
AG0631,白洋淀派,zh,SP0025,1968,1976,,,,,,,2018-01-30,OS,2020-04-02,DP
AG0632,School of Foreign Studies,en,SP0093,1917,,1938,1993,Department of Foreign Languages and Literatures,,,,2018-02-22,MG,2020-04-02,DP
AG0633,Beijing No. 4 High School,en,SP0005,1906,,1911,1949,Capital Public No. 4 Secondary School,,,,2018-02-22,MG,2020-04-02,DP
AG0633,北京市第四中学,zh,SP0005,1906,,1911,1949,京师公立第四中学,,,,2018-02-22,MG,2020-04-02,DP
AG0634,The Communist Party of China,en,SP0005,1921,,,,,,,,2018-03-21,MG,2020-04-02,DP
AG0634,中国共产党,zh,SP0005,1921,,,,,,,,2018-03-21,MG,2020-04-02,DP
AG0635,Voice of America,en,SP0225,1942,,,,,,https://www.voanews.com/,ONLINE SOURCE,2018-04-03,MG,2020-04-02,DP
AG0636,August First Film Studio,en,SP0005,1951,,,,,,,,2018-10-18,WH,2020-04-02,DP
AG0636,八一电影制片厂,zh,SP0005,1951,,,,,,,,2018-10-18,WH,2020-04-02,DP
AG0637,Alexandrov Ensemble,en,SP0030,1928,,,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%81%D0%B0%D0%BC%D0%B1%D0%BB%D1%8C_%D0%BF%D0%B5%D1%81%D0%BD%D0%B8_%D0%B8_%D0%BF%D0%BB%D1%8F%D1%81%D0%BA%D0%B8_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%B0%D1%80%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%90._%D0%92._%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0,,2018-11-04,WH,2020-04-02,DP
AG0637,Ансамбль песни и пляски Российской армии имени А. В. Александрова,ru,SP0030,1928,,,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%81%D0%B0%D0%BC%D0%B1%D0%BB%D1%8C_%D0%BF%D0%B5%D1%81%D0%BD%D0%B8_%D0%B8_%D0%BF%D0%BB%D1%8F%D1%81%D0%BA%D0%B8_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%B0%D1%80%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%90._%D0%92._%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0,,2018-11-04,WH,2020-04-02,DP
AG0637,亚历山德罗夫红旗歌舞团,zh,SP0030,1928,,,,,,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%81%D0%B0%D0%BC%D0%B1%D0%BB%D1%8C_%D0%BF%D0%B5%D1%81%D0%BD%D0%B8_%D0%B8_%D0%BF%D0%BB%D1%8F%D1%81%D0%BA%D0%B8_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%B0%D1%80%D0%BC%D0%B8%D0%B8_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%90._%D0%92._%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0,,2018-11-04,WH,2020-04-02,DP
AG0638,Hubei Opera and Dance Theatre,en,SP0340,1952,,1952,1998,Hubei Experimental Opera Troupe,,https://baike.baidu.com/item/%E6%B9%96%E5%8C%97%E7%9C%81%E5%AE%9E%E9%AA%8C%E6%AD%8C%E5%89%A7%E5%9B%A2,,2018-11-04,WH,2020-04-02,DP
AG0638,湖北省歌舞剧院,zh,SP0340,1952,,1952,1998,湖北省实验歌剧团,,https://baike.baidu.com/item/%E6%B9%96%E5%8C%97%E7%9C%81%E5%AE%9E%E9%AA%8C%E6%AD%8C%E5%89%A7%E5%9B%A2,,2018-11-04,WH,2020-04-02,DP
AG0639,"Jin Opera Group of Liulin County, Shanxi Province",en,SP0341,,,,,,,https://baike.baidu.com/item/%E4%B8%89%E4%B8%8A%E6%A1%83%E5%B3%B0,,2018-11-04,WH,2020-04-02,DP
AG0639,山西省柳林县晋剧团,zh,SP0341,,,,,,,https://baike.baidu.com/item/%E4%B8%89%E4%B8%8A%E6%A1%83%E5%B3%B0,,2018-11-04,WH,2020-04-02,DP
AG0640,China Writers Association,en,SP0005,1949,,1949,1953,Chinese National Literary Workers Association,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E4%BD%9C%E5%AE%B6%E5%8D%8F%E4%BC%9A,,2018-11-04,WH,2020-04-02,DP
AG0640,中国作家协会,zh,SP0005,1949,,1949,1953,中华全国文学工作者协会,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E4%BD%9C%E5%AE%B6%E5%8D%8F%E4%BC%9A,,2018-11-04,WH,2020-04-02,DP
AG0641,Hunan Federation of Literary and Art Circles,en,SP0054,1950,,,1950,Changsha Federation of Literary and Art Circles,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%96%87%E5%AD%A6%E8%89%BA%E6%9C%AF%E7%95%8C%E8%81%94%E5%90%88%E4%BC%9A/2046912,,2018-11-04,WH,2020-04-02,DP
AG0641,湖南省文学艺术界联合会,zh,SP0054,1950,,,1950,长沙市文学艺术界联合会,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%96%87%E5%AD%A6%E8%89%BA%E6%9C%AF%E7%95%8C%E8%81%94%E5%90%88%E4%BC%9A/2046912,,2018-11-04,WH,2020-04-02,DP
AG0642,Jiangxi Jiujiang Cultural Work Group,en,SP0240,,,,,,,W0431,,2018-11-06,WH,2020-04-02,DP
AG0642,江西九江文工团,zh,SP0240,,,,,,,W0431,,2018-11-06,WH,2020-04-02,DP
AG0643,Shanghai Youth Art Theatre,en,SP0006,,,,,,,https://zh.wikipedia.org/wiki/%E6%9D%9C%E9%B9%83%E5%B1%B1,,2018-11-06,WH,2020-04-02,DP
AG0643,上海青年艺术剧院,zh,SP0006,,,,,,,https://zh.wikipedia.org/wiki/%E6%9D%9C%E9%B9%83%E5%B1%B1,,2018-11-06,WH,2020-04-02,DP
AG0644,Beijing Peking Opera Troupe,en,SP0005,1955,,,,,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%AC%E5%89%A7%E5%9B%A2,,2018-11-06,WH,2020-04-02,DP
AG0644,北京京剧团,zh,SP0005,1955,,,,,,https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%BA%AC%E5%89%A7%E5%9B%A2,,2018-11-06,WH,2020-04-02,DP
AG0645,China Central Ballet Company,en,SP0005,1959,,,,,,https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%8A%AD%E8%95%BE%E8%88%9E%E5%9B%A2#2_1,,2018-11-06,WH,2020-04-02,DP
AG0645,中央芭蕾舞团,zh,SP0005,1959,,,,,,https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E8%8A%AD%E8%95%BE%E8%88%9E%E5%9B%A2#2_1,,2018-11-06,WH,2020-04-02,DP
AG0646,Hunan Opera and Dance Theatre,en,SP0054,1953,,,,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%AD%8C%E8%88%9E%E5%89%A7%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0646,湖南省歌舞剧院,zh,SP0054,1953,,,,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%AD%8C%E8%88%9E%E5%89%A7%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0647,Lu Xun Academy of Fine Arts,en,SP0024,1938,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0647,鲁迅艺术学院,zh,SP0024,1938,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0648,Shanghai Ballet Company,en,SP0006,1966,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2020-04-02,DP
AG0648,上海芭蕾舞团,zh,SP0006,1966,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2020-04-02,DP
AG0649,Chinese Academy of Social Sciences,en,SP0005,1977,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0649,中国社会科学院,zh,SP0005,1977,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0650,The Commercial Press,en,SP0006,1897,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2020-04-02,DP
AG0650,商务印书馆,zh,SP0006,1897,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2020-04-02,DP
AG0651,China Association for Science and Technology,en,SP0005,1958,,1958,1980,People's Republic of China Science and Technology Association,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E5%8D%8F%E4%BC%9A,,2018-11-24,WH,2020-04-02,DP
AG0651,中国科学技术协会,zh,SP0005,1958,,1958,1980,中华人民共和国科学技术协会,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E5%8D%8F%E4%BC%9A,,2018-11-24,WH,2020-04-02,DP
AG0652,China Artists Association,en,SP0005,1949,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E7%BE%8E%E8%A1%93%E5%AE%B6%E5%8D%94%E6%9C%83,,2018-11-24,WH,2020-04-02,DP
AG0652,中国美术家协会,zh,SP0005,1949,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E7%BE%8E%E8%A1%93%E5%AE%B6%E5%8D%94%E6%9C%83,,2018-11-24,WH,2020-04-02,DP
AG0653,People's Liberation Army of China,en,SP0005,1927,,1927,1949,Chinese Workers’ and Peasants’ Revolutionary Army,,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B,,2018-11-25,WH,2020-04-02,DP
AG0653,中国人民解放军,zh,SP0005,1927,,1927,1949,中国工农革命军,,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B,,2018-11-25,WH,2020-04-02,DP
AG0654,World Economic Research Institute,en,SP0006,1964,,1964,197x,Fudan University Capitalist National Economic Research Institute,,http://www.fudan.edu.cn/entries/view/129/,,2019-06-15,WH,2020-04-02,DP
AG0654,世界经济研究所,zh,SP0006,1964,,1964,197x,复旦大学资本主义国家经济研究所,,http://www.fudan.edu.cn/entries/view/129/,,2019-06-15,WH,2020-04-02,DP
