sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
W0418,Red Sorrow,A Memoir,en,G03,SP0005,2001,Arcade Publishing,,,,,0,,,2017-07-12,OS,2020-04-08,DP
W0419,漫长的假期,,zh,G03,SP0004,2009,Sanlian shudian,,,W0431,,563-585,,,2017-07-12,OS,2020-04-08,DP
W0419,Endless Holidays,,en,G03,SP0005,2009,Sanlian shudian,,,W0431,,563-585,,,2017-07-12,OS,2021-08-12,DP
W0420,Walking on the Stream of History,,en,G03,SP0004,2006,Shehui kexue luntan,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0420,行走在历史的河流,,zh,G03,SP0004,2006,Shehui kexue luntan,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0421,韩少功,知青与寻根,zh,G22,SP0004,2013,Xinmin zhoukan,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0421,Han Shaogong,Zhiqing yu xungen,zh-Latn-pinyin,G22,SP0004,2013,Xinmin zhoukan,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0422,Ma Jia fangtan lu,,en,G03,SP0093,,,,,W0432,,216-235,,,2017-07-12,OS,2020-04-08,DP
W0422,马佳访谈录,,zh,G03,SP0436,,,,,W0432,,216-235,,,2017-07-12,OS,2020-04-08,DP
W0423,1960-70年代前朦胧诗的发生探源,,zh,G19,SP0053,2014,Yangzi hong pinglun,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0423,1960-1970 niandai qian menglongshi de fasheng tanyuan,,zh-Latn-pinyin,G19,SP0053,2014,Yangzi hong pinglun,,,,,,,,2017-07-12,OS,2020-04-08,DP
W0424,無題往事,,zh,G03,SP0436,,,,,W0432,,153-176,,,2017-07-12,OS,2020-04-08,DP
W0424,Wuti wangshi,,zh-Latn-pinyin,G03,SP0436,,,,,W0432,,153-176,,,2017-07-12,OS,2020-04-08,DP
W0425,"Life,  Books and Poems",,en,G03,SP0093,,,,,W0432,,297-307,,,2017-07-19,LH,2020-04-08,DP
W0425,生活、书籍与诗歌,,zh,G03,SP0436,,,,,W0432,,297-307,,,2017-07-19,LH,2020-04-08,DP
W0426,I Almost Killed Someone That Year,,en,G03,SP0104,2010,Remembrance,2010,no,http://www.xujuneberlein.com/rem48.html,,ONLINE SOURCE,,,2017-07-27,LH,2020-04-08,DP
W0426,那年我差点杀人,,zh,G03,SP0436,2010,Remembrance,2010,no,http://www.xujuneberlein.com/rem48.html,,ONLINE SOURCE,,,2017-07-27,LH,2020-04-08,DP
W0427,Trivia at Beijing No. 4 High School,,en,G03,SP0105,2011,Remembrance,2011,no,http://www.xujuneberlein.com/rem72.html,,ONLINE SOURCE,,,2017-07-27,LH,2020-04-08,DP
W0427,春色谁为主，南北东西路——四中琐记,,zh,G03,SP0436,2011,Remembrance,2011,no,http://www.xujuneberlein.com/rem72.html,,ONLINE SOURCE,,,2017-07-27,LH,2020-04-08,DP
W0428,‘Meeting by Chance’,Memories of Books and the Reading in my Memories,en,G03,SP0004,2012,Dushu,2012,no,,"2012,09",116-125,,,2017-07-28,LH,2020-04-08,DP
W0428,"""不期而遇""",对书的记忆与记忆中的读书,zh,G03,SP0004,2012,Dushu,2012,no,,"2012,09",116-125,,,2017-07-28,LH,2020-04-08,DP
W0429,The Literary Inquisition of ‘The Second Handshake’,,en,G03,SP0005,1999,Zhongguo shehui chubanshe,1999,no,,,,,,2017-08-01,LH,2020-04-08,DP
W0429,《第二次握手》文字狱,,zh,G02,SP0005,1999,Zhongguo shehui chubanshe,1999,no,,,,,,2017-08-01,LH,2020-04-08,DP
W0430,Dreams and Reminiscences,,en,G03,SP0112,,,,,W0431,,441-456,,,2017-08-08,MG,2020-04-08,DP
W0430,梦想与回忆,,zh,G03,SP0436,,,,,W0431,,441-456,,,2017-08-08,MG,2020-04-08,DP
W0431,The Seventies,,en,G03,SP0005,2009,Sanlian shudian,,,,,,,,2017-08-07,MG,2020-04-08,DP
W0431,七十年代,,zh,G03,SP0005,2009,Sanlian shudian,,,,,,,,2017-08-07,MG,2020-04-08,DP
W0432,A Sunken Holy Place,,en,G02,SP0053,1999,Xinjiang qingshaonian chubanshe,,,,,,,,2017-08-11,MG,2020-04-08,DP
W0432,沉沦的圣殿,,zh,G02,SP0053,1999,Xinjiang qingshaonian chubanshe,,,,,,,,2017-08-11,MG,2020-04-08,DP
W0433,The Story of Translators,,en,G43,SP0117,2010,Remembrance,2010,no,http://www.xujuneberlein.com/rem51.html,,ONLINE SOURCE,,,2017-09-06,CW,2020-04-08,DP
W0433,翻译家的故事,,zh,G43,SP0436,2010,Remembrance,2010,no,http://www.xujuneberlein.com/rem51.html,,ONLINE SOURCE,,,2017-09-06,CW,2020-04-08,DP
W0434,The Uses of Literature,Life in the Socialist Chinese Literary System,en,G19,SP0053,2000,Princeton Univ. Press,,,,,,,,2017-09-22,MG,2020-04-08,DP
W0435,A Glance at the Underground Reading Movement During the Cultural Revolution,,en,G19,SP0053,2007,Journal of Contemporary China,,,,Vol 16:51,325-333,,,2017-10-09,MG,2020-04-08,DP
W0436,Memorial for Not Forgetting,Remembering My Friend Zhu Shixian,en,G19,SP0268,2010-07-15,Remembrance,,,,No 53,,,,2017-10-09,MG,2020-04-08,DP
W0436,为了不忘却的纪念,忆难友朱时贤,zh,G19,SP0436,2010-07-15,Remembrance,,,,No 53,,,,2017-10-09,MG,2020-04-08,DP
W0437,Wren Makes Nestle in This Branch,,en,G03,SP0005,2009,Sanlian shudian,,,W0431,,493-506,,,2017-11-08,MG,2020-04-08,DP
W0437,鹪鹩巢于这一枝,,zh,G03,SP0005,2009,Sanlian shudian,,,W0431,,493-506,,,2017-11-08,MG,2020-04-08,DP
W0438,The Predawn Agitation,,en,G03,SP0004,2009,Sanlian shudian,,,W0431,,187-201,,,2017-11-08,MG,2020-04-08,DP
W0438,黎明前的跃动,,zh,G03,SP0005,2009,Sanlian shudian,,,W0431,,187-201,,,2017-11-08,MG,2020-04-08,DP
W0439,The Legend of Taiyang Zongdui and Others,,en,G02,SP0327,,,,,W0432,,30-52,,,2017-12-13,MG,2020-04-08,DP
W0439,太阳纵队传说及其他,,zh,G02,SP0436,,,,,W0432,,30-52,,,2017-12-13,MG,2020-04-08,DP
W0440,China,Mein Traum mein Leben,de,G03,SP0053,1994,ECON,,,,,,,,2017-12-13,MG,2020-04-08,DP
W0441,The Buried Chinese Poets (1972-1978),,en,G03,SP0436,,,,,W0432,,195-202,,,2017-12-13,MG,2020-04-08,DP
W0441,被埋葬的中国诗人,,zh,G03,SP0436,,,,,W0432,,195-202,,,2017-12-13,MG,2020-04-08,DP
W0442,A Transcript of the Interview with Peng Gang and Mang Ke,,en,G02,SP0436,,,,,W0432,,183-194,,,2017-12-13,MG,2020-04-08,DP
W0442,彭刚 芒克访谈录,,zh,G02,SP0436,,,,,W0432,,183-194,,,2017-12-13,MG,2020-04-08,DP
W0443,Second Older Brother,The Absurd Life of Torturing and Being Tortured,en,G03,SP0436,2010-08-15,Remembrance,,,,No 55,,,,2017-12-13,MG,2020-04-08,DP
W0443,二哥,折腾与被折腾的荒诞人生,zh,G03,SP0436,2010-08-15,Remembrance,,,,No 55,,,,2017-12-13,MG,2020-04-08,DP
W0444,This Is a Miracle,Writing Prologue for Shamo's Somewhere Deep in My Heart,en,G03,SP0436,2010-06-15,Remembrance,,,,No 51,,,,2017-12-13,MG,2020-04-08,DP
W0444,这是一个奇迹,为沙漠 我心深处 序,zh,G03,SP0436,2010-06-15,Remembrance,,,,No 51,,,,2017-12-13,MG,2020-04-08,DP
W0445,Confessions of a Mother,,en,G03,SP0436,2010,Yanhuang Chunqiu Zazhi,,,,No 01,,,,2017-12-13,MG,2020-04-08,DP
W0445,一个母亲的忏悔,,zh,G03,SP0436,2010,Yanhuang Chunqiu Zazhi,,,,No 01,,,,2017-12-13,MG,2020-04-08,DP
W0446,The Bloody Flowering Season,,en,G03,SP0436,2010-01-31,Remembrance,,,,No 42,,,,2017-12-13,MG,2020-04-08,DP
W0446,血腥的花季,,zh,G03,SP0436,2010-01-31,Remembrance,,,,No 42,,,,2017-12-13,MG,2020-04-08,DP
W0447,How I Was Made Into a Strictly Treated Object,,en,G03,SP0436,2010-09-13,Remembrance,,,,No 57,,,,2017-12-13,MG,2020-04-08,DP
W0447,我怎样被炮制成 从严对象,,zh,G03,SP0436,2010-09-13,Remembrance,,,,No 57,,,,2017-12-13,MG,2020-04-08,DP
W0448,Some of us,Chinese Women Growing up in the Mao era,en,G03,SP0053,2001,Rutgers Univ. Press,,,,,,,,2017-12-17,MG,2020-04-08,DP
W0449,Mao,The Real Story,en,G02,SP0005,2012,Simon & Schuster,,,,,784,,,2017-12-23,OS,2020-04-08,DP
W0450,The Best Friend of That Time,,en,G03,SP0436,,,,,W0432,,203-215,,,2017-12-29,OS,2020-04-08,DP
W0450,当年最好的朋友,,zh,G03,SP0436,,,,,W0432,,203-215,,,2017-12-29,OS,2020-04-08,DP
W0451,Born Red,A Chronicle of the Cultural Revolution,en,G03,SP0057,1987,Stanford University Press,,,,,416,,,2017-12-29,OS,2020-04-08,DP
W0452,The Cambridge History of Chinese Literature,Volume II: From 1375,en,G19,SP0005,1905-07-02,Cambridge University Press,,,,,,,,2017-12-29,OS,2020-04-08,DP
W0453,The Trivia of Shen Qiu's ‘Training’,Countryside Life and 'The Reactionary Slogan' Incident,en,G03,SP0436,2010-10-30,Remembrance,,,,No 61,,,,2017-12-27,MG,2020-04-08,DP
W0453,沈邱‘锻炼’琐记,田园生活与'反标'事件,zh,G03,SP0436,2010-10-30,Remembrance,,,,No 61,,,,2017-12-27,MG,2020-04-08,DP
W0454,The Old Person in History Department Who Went from the Republic to the Cultural Revolution,,en,G03,SP0436,2011-04-30,Remembrance,,,,No 70,,,,2017-12-27,MG,2020-04-08,DP
W0454,从民国走到文革的历史所老人,,zh,G03,SP0436,2011-04-30,Remembrance,,,,No 70,,,,2017-12-27,MG,2020-04-08,DP
W0455,The Xinjiang Trip During the Great Link-up,,en,G03,SP0436,2010-11-30,Remembrance,,,,No 63,,,,2017-12-27,MG,2020-04-08,DP
W0455,大串联中新疆行,,zh,G03,SP0436,2010-11-30,Remembrance,,,,No 63,,,,2017-12-27,MG,2020-04-08,DP
W0456,Not Recognizing the Current Situation yet Still Outstanding,The Huang Yongsheng in Secretary's Eyes,en,G03,SP0436,2010-12-12,Remembrance,,,,No 64,,,,2017-12-27,MG,2020-04-08,DP
W0456,不识时务亦俊杰,秘书眼里的黄永胜,zh,G03,SP0436,2010-12-12,Remembrance,,,,No 64,,,,2017-12-27,MG,2020-04-08,DP
W0457,I Was Once an Official Red Guard,,en,G03,SP0436,2010-01-31,Remembrance,,,,No 42,,,,2017-12-27,MG,2020-04-08,DP
W0457,我曾是官办红卫兵,,zh,G03,SP0436,2010-01-31,Remembrance,,,,No 42,,,,2017-12-27,MG,2020-04-08,DP
W0458,The Interviews With Hui Xianjun,,en,G43,SP0436,2010-10-20,Remembrance,,,,No 60,,,,2017-12-27,MG,2020-04-08,DP
W0458,惠宪钧访谈录,,zh,G43,SP0436,2010-10-20,Remembrance,,,,No 60,,,,2017-12-27,MG,2020-04-08,DP
W0459,Remembering My Father Wu Tianshi,,en,G03,SP0436,2010-11-30,Remembrance,,,,No 63,,,,2017-12-27,MG,2020-04-08,DP
W0459,忆父亲吴天石,,zh,G03,SP0436,2010-11-30,Remembrance,,,,No 63,,,,2017-12-27,MG,2020-04-08,DP
W0460,The Divided Consciousness and the Interpretation of History,Some Thoughts after Reading Li Ping's Interview and Discussing the Red Guard's movement 'Red August',en,G01,SP0436,2010-09-30,Remembrance,,,http://www.xujuneberlein.com/rem58.html#D,No 58,,,,2018-01-03,OS,2020-04-08,DP
W0460,分裂的意识与历史的解读,读礼平访谈录有感兼议‘红八月’的红卫兵运动,zh,G01,SP0436,2010-09-30,Remembrance,,,http://www.xujuneberlein.com/rem58.html#D,No 58,,,,2018-01-03,OS,2020-04-08,DP
W0461,How Did I Learn About The Lin Biao Incident Whilst Being Imprisoned,,en,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0461,我在狱中是怎样知道林彪事件的,,zh,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0462,September 13 And Primary School Students' Political Classes,,en,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0462,九一三和小学生的政治课,,zh,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0463,Distant Yet Not That Distant Lin Biao,,en,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0463,遥远又不遥远的林彪,,zh,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0464,I Was Forbidden To Listen To A Transmission Of September 13 Documents,,en,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0464,我被禁止听九一三文件传达,,zh,G03,SP0436,2011-08-30,Remembrance,,,http://www.xujuneberlein.com/rem74.html#b,No 74,,,,2018-01-05,MG,2020-04-08,DP
W0465,I Experienced September 13 In The Air Force,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0465,我在空军部队经历九一三,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0466,A Brief Commentary On September 13,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0466,九 一三断想,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0467,My Recollection Of September 13 Is Very Ordinary,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0467,我的九一三记忆很平淡,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0468,Out Of Fear — The 40th Anniversary Of The September 13 Incident,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0468,走出恐惧——九一三事件40年祭,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0469,The September 13 Incident Shattered the Myth,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0469,九一三使神话破灭,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0470,I Heard News Of The Lin Biao Explosion Whist Being Sent-down To The Countryside,,en,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0470,我在乡下听到林彪爆炸的消息,,zh,G03,SP0436,2011-09-13,Remembrance,,,http://www.xujuneberlein.com/rem75.html#GG,No 75,,,,2018-01-05,MG,2020-04-08,DP
W0471,"Explorations, Rectification and Fate",,en,G03,SP0004,2009,Sanlian shudian,,,W0431,,413-440,,,2018-01-08,MG,2020-04-08,DP
W0471,探讨，整肃与命运,,zh,G03,SP0005,2009,Sanlian shudian,,,W0431,,413-440,,,2018-01-08,MG,2020-04-08,DP
W0472,Chongqing Stove Ignited,,en,G02,SP0436,2008,Guojia lishi,,,http://mjlsh.usc.cuhk.edu.hk/book.aspx?cid=6&tid=180&pid=1277,,,,,2018-01-10,MG,2020-04-08,DP
W0472,重庆火炉在燃烧,,zh,G02,SP0436,2008,Guojia lishi,,,http://mjlsh.usc.cuhk.edu.hk/book.aspx?cid=6&tid=180&pid=1277,,,,,2018-01-10,MG,2020-04-08,DP
W0473,Spider Eaters,A Memoir,en,G03,SP0057,1997,University of California Press,,,,,,,,2018-01-10,MG,2020-04-08,DP
W0474,Course of Books,A Spirited Reading History,en,G44,SP0436,,,,,W0432,,4-16,,,2018-01-12,MG,2020-04-08,DP
W0474,书的轨道,一部精神阅读史,zh,G44,SP0436,,,,,W0432,,4-16,,,2018-01-12,MG,2020-04-08,DP
W0475,Those Times in the Mist of Light and Shade,,en,G03,SP0436,,,,,W0431,,547-562,,,2018-01-12,MG,2020-04-08,DP
W0475,明暗交错的时光,,zh,G03,SP0436,,,,,W0431,,547-562,,,2018-01-12,MG,2020-04-08,DP
W0476,Starting From 1979,That Happiness Keener Than Ice and Steel,en,G03,SP0436,,,,,W0431,,531-546,,,2018-01-12,MG,2020-04-08,DP
W0476,始于1979,比冰和铁更刺人心肠的欢乐,zh,G03,SP0436,,,,,W0431,,531-546,,,2018-01-12,MG,2020-04-08,DP
W0477,Years Being Like a Poem,,en,G44,SP0436,,,,,W0431,,51-58,,,2018-01-12,MG,2020-04-08,DP
W0477,诗样年华,,zh,G44,SP0436,,,,,W0431,,51-58,,,2018-01-12,MG,2020-04-08,DP
W0478,1970s,The last Reminiscence,en,G03,SP0436,,,,,W0431,,331-348,,,2018-01-12,MG,2020-04-08,DP
W0478,七十年代,末代回忆,zh,G03,SP0436,,,,,W0431,,331-348,,,2018-01-12,MG,2020-04-08,DP
W0479,Luckily to be Young,1970s in Retrospect,en,G03,SP0436,,,,,W0431,,59-80,,,2018-01-12,MG,2020-04-08,DP
W0479,幸亏年轻,回想七十年代,zh,G03,SP0436,,,,,W0431,,59-80,,,2018-01-12,MG,2020-04-08,DP
W0480,The Reminiscence of Sunshine and Storm,,en,G44,SP0436,,,,,W0431,,305-318,,,2018-01-12,MG,2020-04-08,DP
W0480,阳光与暴风雨的回忆,,zh,G44,SP0436,,,,,W0431,,305-318,,,2018-01-12,MG,2020-04-08,DP
W0481,I Used to be a Wolf of the Mountain and a Thief of the Sea,,en,G03,SP0436,,,,,W0431,,359-382,,,2018-01-12,MG,2020-04-08,DP
W0481,我曾经是山狼海贼,,zh,G03,SP0436,,,,,W0431,,359-382,,,2018-01-12,MG,2020-04-08,DP
W0482,Those Times of Mine,,en,G03,SP0436,,,,,W0431,,383-412,,,2018-01-12,MG,2020-04-08,DP
W0482,我的那年代,,zh,G03,SP0436,,,,,W0431,,383-412,,,2018-01-12,MG,2020-04-08,DP
W0483,Reminiscent Episodes of the 1970s,,en,G03,SP0436,,,,,W0431,,457-474,,,2018-01-12,MG,2020-04-08,DP
W0483,七十年代记忆片段,,zh,G03,SP0436,,,,,W0431,,457-474,,,2018-01-12,MG,2020-04-08,DP
W0484,1976,My First Love Died Like Shabby Cotton,en,G03,SP0436,,,,,W0431,,475-492,,,2018-01-12,MG,2020-04-08,DP
W0484,1976,初恋败絮,zh,G03,SP0436,,,,,W0431,,475-492,,,2018-01-12,MG,2020-04-08,DP
W0485,The Black Painting Crisis,,en,G44,SP0436,,,,,W0431,,349-358,,,2018-01-12,MG,2020-04-08,DP
W0485,黑画风波,,zh,G44,SP0436,,,,,W0431,,349-358,,,2018-01-12,MG,2020-04-08,DP
W0490,The Seventies,The Broken Pieces in my Heart,en,G03,SP0436,,,,,W0431,,235-256,,,2018-02-01,OS,2020-04-08,DP
W0490,七十年代,我心中的碎片,zh,G03,SP0436,,,,,W0431,,235-256,,,2018-02-01,OS,2020-04-08,DP
W0486,The Tranquil Horizon,,en,G03,SP0436,,,,,W0431,,105-146,,,2018-01-24,OS,2020-04-08,DP
W0486,宁静的地平线,,zh,G03,SP0436,,,,,W0431,,105-146,,,2018-01-24,OS,2020-04-08,DP
W0487,Broken Chapter,,en,G03,SP0436,,,,,W0431,,31-50,,,2018-01-25,OS,2020-04-08,DP
W0487,断章,,zh,G03,SP0436,,,,,W0431,,31-50,,,2018-01-25,OS,2020-04-08,DP
W0488,The Unforgettable 1971,,en,G03,SP0436,,,,,W0431,,257-278,,,2018-01-25,OS,2020-04-08,DP
W0488,难忘的1971,,zh,G03,SP0436,,,,,W0431,,257-278,,,2018-01-25,OS,2020-04-08,DP
W0489,The Unjustly Murdered Woman From the Neighbourhood,,en,G03,SP0436,2010,,2010,,http://www.xujuneberlein.com/rem57.html,No 57,ONLINE SOURCE,,,2018-01-25,OS,2020-04-08,DP
W0489,被冤杀的街坊大妈,,zh,G03,SP0436,2010,,2010,,http://www.xujuneberlein.com/rem57.html,No 57,ONLINE SOURCE,,,2018-01-25,OS,2020-04-08,DP
W0491,Starting in 1979,Heart-stabbing Joy Keener Than Ice or Iron,en,G03,SP0436,,,,,W0431,,530-546,,,2018-02-02,OS,2020-04-08,DP
W0491,始于1979年,,zh,G03,SP0436,,,,,W0431,,530-546,,,2018-02-02,OS,2020-04-08,DP
W0492,The X Literary Society and the Death of Guo Shiying,,en,G03,SP0436,,,,,W0432,,17-29,,,2018-02-03,OS,2020-04-08,DP
W0492,X诗社与郭世英之死,,zh,G03,SP0436,,,,,W0432,,17-29,,,2018-02-03,OS,2020-04-08,DP
W0493,A Transcript of the Interview With Lin Mang,,en,G02,SP0436,,,,,W0432,,282-296,,,2018-02-03,OS,2020-04-08,DP
W0493,林莽访谈录,,zh,G02,SP0436,,,,,W0432,,282-296,,,2018-02-03,OS,2020-04-08,DP
W0494,"""Jintian"" and I",,en,G03,SP0436,,,,,W0432,,379-410,,,2018-02-03,OS,2020-04-08,DP
W0494,《今天》与我,,zh,G03,SP0436,,,,,W0432,,379-410,,,2018-02-03,OS,2020-04-08,DP
W0495,Growing up in the People's Republic,Conversations Between two Daughters of China's Revolution,en,G03,SP0005,2005,Palgrave MacMillan,,,,,,,,2018-02-06,OS,2020-04-08,DP
W0496,The Unknown Cultural Revolution,,en,G19,SP0005,2008,Monthly Review Press,,,,,186,,,2018-02-13,OS,2020-04-08,DP
W0497,From ‘Criticizing the Toxic’ to ‘Spreading the Toxic’,My Cultural Revolution Encounter and Teacher Wang’s Death,en,G03,SP0436,2011-06-30,Remembrance,,,http://www.xujuneberlein.com/rem72.html,No 72,,,,2018-02-19,MG,2020-04-08,DP
W0497,从‘批毒’到‘散毒’,我的文革遭遇与汪含英老师之死,zh,G03,SP0436,2011-06-30,Remembrance,,,http://www.xujuneberlein.com/rem72.html,No 72,,,,2018-02-19,MG,2020-04-08,DP
W0498,Confessions,,en,G03,SP0005,2008,Norton,,,,,455,,,2018-02-27,OS,2020-04-08,DP
W0499,A Stirrup cup for the Past,Remembering a Friend From the 1970s,en,G03,SP0436,,,,,W0431,,279-304,,,2018-02-27,OS,2020-04-08,DP
W0499,骊歌清酒忆旧时,记七十年代我的一个朋友,zh,G03,SP0436,,,,,W0431,,279-304,,,2018-02-27,OS,2020-04-08,DP
W0500,Red China Blues,My Long March From Mao to now,en,G03,SP0005,1997,Anchor Books,,,,,416,,,2018-02-16,OS,2020-04-08,DP
